Date,Volume,Low,Close,Open,Market Cap,High
"Sep 19, 2016","1,606,420",3.82,3.83,4.04,"192,499,000",4.20
"Sep 18, 2016","1,727,830",3.81,4.04,3.81,"181,377,000",4.09
"Sep 17, 2016","1,568,340",3.80,3.81,3.80,"180,848,000",3.82
"Sep 16, 2016","1,663,730",3.80,3.81,3.82,"181,512,000",3.83
"Sep 15, 2016","1,793,220",3.80,3.81,3.83,"182,156,000",3.84
"Sep 14, 2016","1,322,330",3.82,3.83,3.82,"181,565,000",3.85
"Sep 13, 2016","2,219,650",3.81,3.82,3.83,"182,131,000",3.85
"Sep 12, 2016","2,454,330",3.79,3.82,3.87,"183,908,000",3.87
"Sep 11, 2016","2,100,480",3.85,3.86,3.97,"188,515,000",3.99
"Sep 10, 2016","661,652",3.96,3.97,3.97,"188,630,000",3.98
"Sep 09, 2016","1,450,080",3.96,3.97,3.98,"189,118,000",3.99
"Sep 08, 2016","2,425,520",3.96,3.99,3.97,"188,381,000",4.01
"Sep 07, 2016","1,988,370",3.95,3.97,3.99,"189,261,000",4.13
"Sep 06, 2016","1,699,160",3.95,3.97,3.98,"188,974,000",3.99
"Sep 05, 2016","4,245,990",3.97,3.98,4.02,"190,686,000",4.03
"Sep 04, 2016","4,834,060",3.88,4.01,3.89,"184,540,000",4.04
"Sep 03, 2016","2,484,220",3.81,3.89,3.83,"181,349,000",3.91
"Sep 02, 2016","1,984,050",3.81,3.82,3.84,"181,757,000",3.84
"Sep 01, 2016","2,241,890",3.79,3.83,3.80,"179,752,000",3.85
"Aug 31, 2016","1,678,550",3.78,3.80,3.81,"180,189,000",3.81
"Aug 30, 2016","2,315,030",3.75,3.80,3.77,"178,314,000",3.82
"Aug 29, 2016","2,610,000",3.74,3.76,3.74,"176,842,000",3.79
"Aug 28, 2016","2,380,150",3.73,3.74,3.74,"176,715,000",3.76
"Aug 27, 2016","6,505,780",3.73,3.74,3.82,"180,864,000",3.83
"Aug 26, 2016","2,392,690",3.79,3.83,3.80,"179,722,000",3.85
"Aug 25, 2016","3,206,370",3.78,3.80,3.86,"182,248,000",3.87
"Aug 24, 2016","4,425,210",3.84,3.86,3.93,"185,610,000",3.95
"Aug 23, 2016","12,154,100",3.66,3.93,3.66,"173,066,000",4.01
"Aug 22, 2016","2,685,030",3.60,3.66,3.62,"170,790,000",3.66
"Aug 21, 2016","1,321,380",3.60,3.62,3.62,"170,829,000",3.63
"Aug 20, 2016","1,642,330",3.60,3.62,3.61,"170,236,000",3.63
"Aug 19, 2016","1,433,570",3.60,3.60,3.61,"170,319,000",3.62
"Aug 18, 2016","1,645,410",3.60,3.61,3.60,"169,884,000",3.64
"Aug 17, 2016","1,830,120",3.59,3.60,3.65,"171,832,000",3.65
"Aug 16, 2016","2,302,180",3.58,3.64,3.59,"168,951,000",3.65
"Aug 15, 2016","3,314,040",3.57,3.58,3.65,"171,883,000",3.68
"Aug 14, 2016","2,655,030",3.61,3.65,3.72,"175,008,000",3.72
"Aug 13, 2016","2,473,190",3.68,3.71,3.71,"174,620,000",3.75
"Aug 12, 2016","2,025,430",3.69,3.71,3.74,"175,966,000",3.75
"Aug 11, 2016","2,374,230",3.64,3.74,3.72,"174,921,000",3.75
"Aug 10, 2016","1,656,370",3.72,3.72,3.76,"176,955,000",3.81
"Aug 09, 2016","1,878,160",3.74,3.76,3.78,"177,889,000",3.78
"Aug 08, 2016","1,379,300",3.75,3.79,3.77,"177,444,000",3.80
"Aug 07, 2016","1,335,400",3.75,3.78,3.76,"176,649,000",3.81
"Aug 06, 2016","1,371,060",3.70,3.76,3.72,"174,833,000",3.77
"Aug 05, 2016","1,162,030",3.70,3.73,3.74,"175,755,000",3.74
"Aug 04, 2016","1,593,350",3.71,3.75,3.71,"174,289,000",3.75
"Aug 03, 2016","2,875,880",3.59,3.72,3.64,"170,828,000",3.74
"Aug 02, 2016","5,039,290",3.52,3.64,3.87,"181,673,000",3.89
"Aug 01, 2016","1,991,690",3.86,3.86,4.06,"190,585,000",4.06
"Jul 31, 2016","1,921,460",3.97,4.01,4.08,"191,302,000",4.08
"Jul 30, 2016","1,388,580",4.06,4.06,4.08,"191,389,000",4.09
"Jul 29, 2016","1,744,370",3.96,4.08,3.97,"186,270,000",4.10
"Jul 28, 2016","1,728,410",3.96,3.97,3.97,"185,791,000",3.99
"Jul 27, 2016","1,847,300",3.93,3.96,3.96,"185,692,000",3.99
"Jul 26, 2016","2,545,920",3.93,3.97,4.04,"189,020,000",4.05
"Jul 25, 2016","1,535,980",4.03,4.03,4.07,"190,621,000",4.08
"Jul 24, 2016","1,839,420",4.04,4.07,4.06,"190,145,000",4.08
"Jul 23, 2016","1,568,890",4.03,4.06,4.04,"189,102,000",4.06
"Jul 22, 2016","2,677,970",4.03,4.04,4.13,"192,936,000",4.14
"Jul 21, 2016","1,422,410",4.11,4.12,4.13,"193,228,000",4.14
"Jul 20, 2016","1,908,710",4.11,4.13,4.15,"193,958,000",4.16
"Jul 19, 2016","1,563,330",4.14,4.15,4.15,"194,028,000",4.17
"Jul 18, 2016","1,577,810",4.14,4.15,4.20,"196,145,000",4.20
"Jul 17, 2016","2,155,230",4.13,4.19,4.14,"193,199,000",4.21
"Jul 16, 2016","1,378,140",4.11,4.13,4.15,"193,834,000",4.16
"Jul 15, 2016","1,668,020",4.15,4.16,4.15,"193,859,000",4.18
"Jul 14, 2016","1,663,660",4.12,4.15,4.14,"193,166,000",4.18
"Jul 13, 2016","2,215,370",4.13,4.14,4.16,"194,119,000",4.18
"Jul 12, 2016","2,734,250",4.09,4.15,4.09,"190,754,000",4.21
"Jul 11, 2016","3,282,920",4.06,4.09,4.12,"192,038,000",4.19
"Jul 10, 2016","3,039,620",4.06,4.10,4.12,"191,996,000",4.15
"Jul 09, 2016","6,256,370",3.97,4.16,4.24,"197,337,000",4.24
"Jul 08, 2016","5,033,530",4.08,4.22,4.12,"191,626,000",4.23
"Jul 07, 2016","6,277,860",3.95,4.11,4.50,"209,306,000",4.53
"Jul 06, 2016","3,238,960",4.42,4.47,4.46,"207,751,000",4.51
"Jul 05, 2016","4,707,390",4.36,4.45,4.56,"212,025,000",4.56
"Jul 04, 2016","5,062,640",4.21,4.54,4.27,"198,695,000",4.54
"Jul 03, 2016","7,659,710",4.19,4.25,4.66,"216,679,000",4.66
"Jul 02, 2016","16,646,200",4.24,4.59,4.28,"198,801,000",4.61
"Jul 01, 2016","6,987,180",4.18,4.26,4.19,"194,823,000",4.33
"Jun 30, 2016","2,864,910",4.04,4.19,4.08,"189,371,000",4.21
"Jun 29, 2016","2,211,450",4.03,4.06,4.10,"190,440,000",4.10
"Jun 28, 2016","2,867,420",4.07,4.10,4.14,"192,051,000",4.18
"Jun 27, 2016","2,749,620",4.03,4.12,4.05,"187,984,000",4.16
"Jun 26, 2016","4,480,920",3.97,4.07,4.24,"196,813,000",4.24
"Jun 25, 2016","6,057,000",3.92,4.23,4.27,"198,221,000",4.44
"Jun 24, 2016","9,364,750",3.85,4.28,3.85,"178,563,000",4.33
"Jun 23, 2016","11,138,900",3.47,3.85,3.92,"181,586,000",3.95
"Jun 22, 2016","11,522,400",3.88,3.91,4.83,"223,663,000",4.92
"Jun 21, 2016","11,984,800",4.70,4.82,5.27,"244,250,000",5.29
"Jun 20, 2016","4,154,880",5.27,5.29,5.63,"260,458,000",5.63
"Jun 19, 2016","3,760,240",5.51,5.59,5.56,"257,369,000",5.63
"Jun 18, 2016","7,878,070",5.49,5.56,5.60,"259,298,000",5.69
"Jun 17, 2016","12,383,200",5.28,5.59,5.67,"262,382,000",5.95
"Jun 16, 2016","9,930,590",5.25,5.66,5.25,"242,907,000",5.66
"Jun 15, 2016","3,917,000",5.11,5.24,5.22,"241,446,000",5.24
"Jun 14, 2016","8,488,220",5.10,5.20,5.31,"245,165,000",5.31
"Jun 13, 2016","8,668,280",5.16,5.29,5.41,"250,146,000",5.54
"Jun 12, 2016","13,753,200",5.05,5.33,5.07,"234,022,000",5.46
"Jun 11, 2016","10,294,700",4.84,5.01,4.88,"225,407,000",5.01
"Jun 10, 2016","6,975,970",4.71,4.84,4.75,"219,324,000",4.85
"Jun 09, 2016","6,438,540",4.67,4.69,4.78,"220,448,000",4.78
"Jun 08, 2016","3,507,640",4.69,4.75,4.77,"220,210,000",4.79
"Jun 07, 2016","3,881,380",4.72,4.77,4.95,"228,462,000",4.98
"Jun 06, 2016","2,993,510",4.81,4.96,4.81,"221,912,000",4.97
"Jun 05, 2016","2,257,820",4.79,4.81,4.80,"221,106,000",4.84
"Jun 04, 2016","3,214,800",4.77,4.81,4.86,"224,016,000",4.90
"Jun 03, 2016","4,061,990",4.71,4.86,4.72,"217,333,000",4.87
"Jun 02, 2016","2,121,360",4.68,4.72,4.74,"218,428,000",4.76
