Date,Close,High,Open,Market Cap,Volume,Low
"Jul 04, 2017",7.78,8.49,8.22,"410,831,000","15,781,600",7.77
"Jul 03, 2017",8.22,8.48,8.06,"402,786,000","28,820,400",7.52
"Jul 02, 2017",8.10,8.51,7.96,"397,988,000","47,478,700",6.75
"Jul 01, 2017",7.95,9.24,8.77,"438,293,000","33,128,400",7.74
"Jun 30, 2017",8.73,10.00,9.72,"485,988,000","43,355,500",8.60
"Jun 29, 2017",9.77,10.07,8.34,"416,970,000","77,050,000",7.91
"Jun 28, 2017",8.38,8.69,6.96,"347,826,000","72,982,300",6.49
"Jun 27, 2017",6.83,7.26,5.35,"267,538,000","71,029,700",5.09
"Jun 26, 2017",5.53,6.22,5.95,"297,587,000","27,615,900",4.42
"Jun 25, 2017",5.95,6.46,6.29,"314,543,000","24,890,900",5.66
"Jun 24, 2017",6.30,7.11,6.87,"343,738,000","33,359,500",6.25
"Jun 23, 2017",6.84,7.43,6.92,"346,025,000","67,033,300",5.78
"Jun 22, 2017",6.94,10.51,10.16,"507,921,000","115,249,000",6.90
"Jun 21, 2017",10.15,10.21,8.04,"401,956,000","88,374,400",7.81
"Jun 20, 2017",8.00,11.79,11.79,"589,390,000","126,661,000",7.87
"Jun 19, 2017",11.72,11.81,5.46,"273,011,000","281,341,000",5.46
"Jun 18, 2017",5.26,5.26,3.79,"189,717,000","61,381,000",3.47
"Jun 17, 2017",3.76,4.18,2.80,"139,894,000","82,601,000",2.70
"Jun 16, 2017",2.77,2.81,1.80,"90,202,000","45,782,200",1.72
"Jun 15, 2017",1.78,1.84,1.74,"86,947,000","9,550,940",1.54
"Jun 14, 2017",1.74,1.94,1.81,"90,657,000","10,497,200",1.68
"Jun 13, 2017",1.81,1.86,1.50,"75,221,500","10,456,500",1.50
"Jun 12, 2017",1.51,1.69,1.67,"83,716,000","7,492,490",1.40
"Jun 11, 2017",1.67,1.73,1.69,"84,426,000","6,479,410",1.52
"Jun 10, 2017",1.68,2.07,1.54,"77,129,000","17,295,300",1.53
"Jun 09, 2017",1.55,1.59,1.36,"67,874,000","9,728,020",1.33
"Jun 08, 2017",1.36,1.36,1.27,"63,677,000","7,118,290",1.19
"Jun 07, 2017",1.28,1.36,1.34,"66,929,500","2,994,510",1.27
"Jun 06, 2017",1.34,1.37,1.28,"63,757,000","5,234,170",1.20
"Jun 05, 2017",1.28,1.35,1.27,"63,267,500","3,876,920",1.25
"Jun 04, 2017",1.26,1.32,1.25,"62,425,500","2,572,220",1.22
"Jun 03, 2017",1.26,1.36,1.36,"68,122,000","4,049,740",1.15
"Jun 02, 2017",1.35,1.40,1.25,"62,290,500","7,157,890",1.18
"Jun 01, 2017",1.24,1.30,1.03,"51,383,000","8,061,920",1.01
"May 31, 2017",1.03,1.08,1.02,"51,167,000","3,001,020",0.966531
"May 30, 2017",1.02,1.13,0.975403,"48,770,200","5,393,720",0.970573
"May 29, 2017",0.966765,0.974728,0.921727,"46,086,400","2,171,000",0.873447
"May 28, 2017",0.930106,1.07,0.989557,"49,477,900","5,133,830",0.814832
"May 27, 2017",0.982348,1.03,0.806824,"40,341,200","7,025,920",0.598245
"May 26, 2017",0.826549,1.22,1.11,"55,293,000","6,847,940",0.694110
"May 25, 2017",1.11,1.74,1.74,"87,149,500","12,458,000",1.01
"May 24, 2017",1.76,1.90,0.878954,"43,947,700","22,900,400",0.863444
"May 23, 2017",0.877157,0.901805,0.721726,"36,086,300","3,858,760",0.695115
"May 22, 2017",0.720486,0.742591,0.682007,"34,100,400","2,331,300",0.669175
"May 21, 2017",0.664141,0.744667,0.665434,"33,271,700","2,621,930",0.618864
"May 20, 2017",0.665485,0.671513,0.638148,"31,907,400","1,476,170",0.612225
"May 19, 2017",0.631860,0.682251,0.539752,"26,987,600","1,884,600",0.539752
"May 18, 2017",0.539481,0.552265,0.533423,"26,671,200","1,201,540",0.514519
"May 17, 2017",0.531643,0.531643,0.464285,"23,214,200","1,328,670",0.454101
"May 16, 2017",0.463667,0.474567,0.474567,"23,728,400","637,204",0.452551
"May 15, 2017",0.470057,0.493300,0.477364,"23,868,200","897,219",0.454150
"May 14, 2017",0.477543,0.490861,0.483372,"24,168,600","501,693",0.473253
"May 13, 2017",0.484544,0.491284,0.487873,"24,393,600","616,908",0.451528
"May 12, 2017",0.487684,0.508175,0.480874,"24,043,700","548,028",0.469682
"May 11, 2017",0.481077,0.520573,0.504314,"25,215,700","953,152",0.431391
"May 10, 2017",0.503894,0.541055,0.449260,"22,463,000","843,243",0.449260
"May 09, 2017",0.449370,0.501255,0.496131,"24,806,600","1,076,450",0.407576
"May 08, 2017",0.496572,0.542761,0.530300,"26,515,000","1,025,750",0.486931
"May 07, 2017",0.535792,0.591143,0.585263,"29,263,200","1,249,060",0.516306
"May 06, 2017",0.587670,0.590350,0.572854,"28,642,700","1,341,720",0.537649
"May 05, 2017",0.576426,0.576426,0.493833,"24,691,600","2,660,100",0.470129
"May 04, 2017",0.500309,0.500403,0.345096,"17,254,800","2,317,450",0.334537
"May 03, 2017",0.343782,0.348589,0.314746,"15,737,300","758,237",0.309078
"May 02, 2017",0.314833,0.326074,0.319147,"15,957,400","588,824",0.280153
"May 01, 2017",0.318838,0.361689,0.361689,"18,084,400","1,142,050",0.269563
"Apr 30, 2017",0.360099,0.362409,0.271731,"13,586,500","1,631,520",0.268994
"Apr 29, 2017",0.271729,0.290570,0.229612,"11,480,600","960,013",0.221128
"Apr 28, 2017",0.229255,0.229271,0.202194,"10,109,700","473,689",0.201420
"Apr 27, 2017",0.202092,0.208510,0.184394,"9,219,700","327,972",0.181833
"Apr 26, 2017",0.184577,0.188085,0.183475,"9,173,750","185,400",0.179909
"Apr 25, 2017",0.183504,0.184094,0.173606,"8,680,300","241,805",0.166802
"Apr 24, 2017",0.173758,0.177153,0.177077,"8,853,850","262,706",0.163354
"Apr 23, 2017",0.174960,0.185985,0.180684,"9,034,200","175,678",0.169937
"Apr 22, 2017",0.183058,0.188524,0.178943,"8,947,150","288,119",0.173304
"Apr 21, 2017",0.178122,0.185694,0.184685,"9,234,250","263,127",0.174442
"Apr 20, 2017",0.184725,0.191015,0.189534,"9,476,700","222,525",0.178645
"Apr 19, 2017",0.189408,0.190709,0.180622,"9,031,100","297,302",0.178089
"Apr 18, 2017",0.180479,0.192224,0.191910,"9,595,500","348,694",0.176355
"Apr 17, 2017",0.191489,0.192535,0.191583,"9,579,150","331,308",0.179468
"Apr 16, 2017",0.192076,0.195650,0.193672,"9,683,600","167,886",0.188923
"Apr 15, 2017",0.192164,0.194574,0.192991,"9,649,550","76,566",0.190452
"Apr 14, 2017",0.192958,0.193960,0.191540,"9,577,000","103,138",0.190495
"Apr 13, 2017",0.191686,0.196013,0.193966,"9,698,300","147,722",0.190089
"Apr 12, 2017",0.195553,0.200199,0.198357,"9,917,850","192,252",0.191723
"Apr 11, 2017",0.197826,0.211772,0.209023,"10,451,200","257,457",0.189697
"Apr 10, 2017",0.207874,0.220733,0.188842,"9,442,100","208,420",0.186149
"Apr 09, 2017",0.188861,0.191026,0.189679,"9,483,950","97,362",0.186312
"Apr 08, 2017",0.190221,0.193674,0.189456,"9,472,800","54,654",0.188398
"Apr 07, 2017",0.188531,0.192661,0.187871,"9,393,550","81,618",0.184796
"Apr 06, 2017",0.186430,0.190455,0.184767,"9,238,350","82,505",0.184234
"Apr 05, 2017",0.184719,0.192548,0.185082,"9,254,100","102,043",0.182758
"Apr 04, 2017",0.185002,0.202591,0.199874,"9,993,700","148,096",0.181038
"Apr 03, 2017",0.199703,0.205959,0.205808,"10,290,400","104,805",0.196132
"Apr 02, 2017",0.205480,0.206776,0.203584,"10,179,200","102,369",0.200261
"Apr 01, 2017",0.205017,0.206153,0.203606,"10,180,300","109,993",0.194440
"Mar 31, 2017",0.203541,0.213953,0.210236,"10,511,800","291,529",0.196505
"Mar 30, 2017",0.210556,0.221930,0.212468,"10,623,400","504,940",0.206085
"Mar 29, 2017",0.212428,0.225506,0.220650,"11,032,500","335,567",0.205719
"Mar 28, 2017",0.220632,0.235749,0.186277,"9,313,850","821,674",0.180596
"Mar 27, 2017",0.186426,0.191642,0.161165,"8,058,250","201,563",0.160717
