Date,Low,High,Close,Open,Market Cap,Volume
"Mar 26, 2017",954.19,1007.96,966.73,974.01,"15,814,800,000","303,668,000"
"Mar 25, 2017",903.71,975.76,972.78,936.54,"15,204,800,000","435,803,000"
"Mar 24, 2017",934.36,1040.47,937.52,1038.45,"16,857,000,000","491,038,000"
"Mar 23, 2017",1028.93,1058.01,1038.59,1050.05,"17,043,400,000","248,540,000"
"Mar 22, 2017",1014.21,1120.65,1049.14,1120.65,"18,187,100,000","380,841,000"
"Mar 21, 2017",1055.36,1122.43,1120.54,1055.36,"17,125,600,000","337,391,000"
"Mar 20, 2017",1036.68,1063.03,1054.23,1037.24,"16,829,800,000","286,530,000"
"Mar 19, 2017",976.73,1069.91,1036.74,976.73,"15,846,000,000","406,648,000"
"Mar 18, 2017",957.65,1114.07,973.82,1099.69,"17,838,700,000","621,302,000"
"Mar 17, 2017",1099.57,1180.16,1100.23,1180.16,"19,141,800,000","706,599,000"
"Mar 16, 2017",1152.44,1257.98,1187.81,1251.33,"20,293,700,000","638,568,000"
"Mar 15, 2017",1239.75,1251.61,1249.61,1240.16,"20,110,400,000","297,805,000"
"Mar 14, 2017",1220.72,1244.81,1240.00,1232.16,"19,978,200,000","245,306,000"
"Mar 13, 2017",1217.03,1237.37,1231.92,1221.78,"19,807,700,000","380,277,000"
"Mar 12, 2017",1175.36,1226.98,1221.38,1176.62,"19,073,300,000","227,176,000"
"Mar 11, 2017",1116.32,1193.83,1175.83,1116.32,"18,093,700,000","283,320,000"
"Mar 10, 2017",1077.25,1270.47,1116.72,1189.36,"19,275,300,000","563,796,000"
"Mar 09, 2017",1141.23,1197.46,1188.49,1150.35,"18,640,900,000","212,283,000"
"Mar 08, 2017",1148.08,1232.16,1150.00,1223.23,"19,819,800,000","332,603,000"
"Mar 07, 2017",1204.80,1275.55,1223.54,1273.21,"20,627,100,000","291,256,000"
"Mar 06, 2017",1264.60,1276.00,1272.83,1267.47,"20,531,900,000","153,657,000"
"Mar 05, 2017",1238.06,1267.29,1267.12,1254.29,"20,316,000,000","134,127,000"
"Mar 04, 2017",1230.51,1279.40,1255.15,1277.43,"20,688,800,000","183,270,000"
"Mar 03, 2017",1250.71,1280.31,1274.99,1250.71,"20,253,700,000","315,739,000"
"Mar 02, 2017",1215.62,1262.13,1251.01,1224.68,"19,829,800,000","368,275,000"
"Mar 01, 2017",1179.69,1222.50,1222.50,1180.04,"19,104,800,000","229,057,000"
"Feb 28, 2017",1171.82,1193.25,1179.97,1180.72,"19,113,600,000","184,956,000"
"Feb 27, 2017",1163.38,1181.98,1179.97,1163.78,"18,837,300,000","131,570,000"
"Feb 26, 2017",1130.20,1167.47,1165.20,1144.27,"18,518,900,000","116,486,000"
"Feb 25, 2017",1124.59,1174.85,1143.84,1170.41,"18,939,500,000","139,961,000"
"Feb 24, 2017",1131.96,1200.39,1173.68,1172.71,"18,974,400,000","330,759,000"
"Feb 23, 2017",1116.96,1176.62,1166.72,1117.27,"18,075,200,000","189,454,000"
"Feb 22, 2017",1100.55,1125.39,1117.44,1114.80,"18,033,400,000","136,100,000"
"Feb 21, 2017",1076.93,1117.25,1115.30,1079.28,"17,456,900,000","186,869,000"
"Feb 20, 2017",1041.69,1080.49,1079.98,1048.69,"16,960,200,000","109,478,000"
"Feb 19, 2017",1043.46,1056.81,1047.87,1054.76,"17,056,600,000","77,423,300"
"Feb 18, 2017",1046.96,1061.10,1054.42,1049.21,"16,964,800,000","99,073,500"
"Feb 17, 2017",1025.64,1053.17,1046.21,1026.12,"16,589,600,000","136,474,000"
"Feb 16, 2017",1007.65,1033.37,1027.44,1007.65,"16,289,100,000","122,277,000"
"Feb 15, 2017",1001.58,1008.84,1007.48,1006.21,"16,264,100,000","89,759,400"
"Feb 14, 2017",986.47,1011.51,1004.55,991.74,"16,028,000,000","137,946,000"
"Feb 13, 2017",976.00,1002.10,990.64,998.88,"16,141,500,000","100,607,000"
"Feb 12, 2017",996.92,1004.76,999.18,1003.52,"16,214,700,000","67,530,000"
"Feb 11, 2017",982.83,1009.29,1004.45,988.90,"15,976,700,000","102,261,000"
"Feb 10, 2017",946.69,998.90,988.67,995.63,"16,083,600,000","190,452,000"
"Feb 09, 2017",953.34,1088.99,994.38,1064.70,"17,197,100,000","407,220,000"
"Feb 08, 2017",1037.49,1078.97,1063.07,1062.32,"17,156,700,000","201,855,000"
"Feb 07, 2017",1040.14,1061.93,1061.35,1040.14,"16,796,600,000","146,007,000"
"Feb 06, 2017",1028.16,1044.64,1038.15,1028.40,"16,605,400,000","111,762,000"
"Feb 05, 2017",1022.37,1043.63,1027.34,1043.52,"16,847,400,000","114,208,000"
"Feb 04, 2017",1015.16,1045.90,1042.90,1031.33,"16,648,800,000","155,064,000"
"Feb 03, 2017",1008.79,1033.87,1029.91,1011.46,"16,326,100,000","201,278,000"
"Feb 02, 2017",983.22,1013.52,1011.80,990.00,"15,977,800,000","145,821,000"
"Feb 01, 2017",970.74,989.11,989.02,970.94,"15,667,900,000","150,110,000"
"Jan 31, 2017",920.96,972.02,970.40,920.96,"14,859,700,000","164,582,000"
"Jan 30, 2017",919.47,923.05,920.38,920.15,"14,844,900,000","78,227,300"
"Jan 29, 2017",919.15,923.42,919.50,922.07,"14,874,000,000","60,851,700"
"Jan 28, 2017",919.81,923.91,921.59,919.81,"14,835,800,000","68,979,600"
"Jan 27, 2017",915.85,923.22,919.75,918.36,"14,810,400,000","125,594,000"
"Jan 26, 2017",902.22,919.33,917.59,902.39,"14,551,200,000","131,958,000"
"Jan 25, 2017",891.69,903.25,901.54,891.92,"14,380,700,000","120,831,000"
"Jan 24, 2017",892.29,924.14,892.69,910.68,"14,681,400,000","111,349,000"
"Jan 23, 2017",916.74,928.27,921.01,925.50,"14,918,800,000","73,588,600"
"Jan 22, 2017",897.56,937.52,924.67,922.21,"14,863,600,000","116,573,000"
"Jan 21, 2017",895.53,927.37,921.79,895.55,"14,432,000,000","111,158,000"
"Jan 20, 2017",887.01,899.40,895.03,898.17,"14,472,100,000","86,728,400"
"Jan 19, 2017",884.34,904.61,899.07,888.34,"14,311,700,000","105,625,000"
"Jan 18, 2017",858.30,917.50,886.62,909.37,"14,648,900,000","225,677,000"
"Jan 17, 2017",830.80,910.56,907.94,830.95,"13,383,900,000","155,095,000"
"Jan 16, 2017",820.27,834.53,831.53,821.78,"13,234,600,000","82,755,200"
"Jan 15, 2017",812.87,823.31,821.80,818.14,"13,174,300,000","71,013,600"
